r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.023777,0.040474,0.047872,0.848248,126.192269,204.281203,167.251225,98.000000,160.000000,128.000000,191.000000,2835.000000,0.293151,0.019086,0.362908,0.027396,60358.000000,109543.000000,66788.000000,39754.000000,3001.000000,41512.000000,17694.000000,1152.000000
0.025935,0.039479,0.049058,1.008735,93.630849,166.979211,174.095130,119.000000,174.000000,120.000000,189.000000,3208.000000,0.187567,0.082160,0.222220,0.117892,23357.000000,43421.000000,28653.000000,9649.000000,5119.000000,17057.000000,4381.000000,1919.000000
0.025289,0.040314,0.051094,0.769312,119.479495,218.303080,181.783871,107.000000,162.000000,111.000000,183.000000,2358.000000,0.377475,0.025525,0.443466,0.037203,152397.000000,290514.000000,150873.000000,128833.000000,10808.000000,90981.000000,57526.000000,3890.000000
0.023836,0.041289,0.050529,0.928085,149.256226,218.333923,173.176534,130.000000,207.000000,161.000000,221.000000,3120.000000,0.181851,0.075174,0.228360,0.113560,30569.000000,55592.000000,36584.000000,12695.000000,6313.000000,22712.000000,5559.000000,2298.000000
0.025102,0.040899,0.051813,0.930154,118.536377,188.192462,163.101618,113.000000,186.000000,133.000000,193.000000,3316.000000,0.091228,0.013900,0.119883,0.022722,119426.000000,205926.000000,176560.000000,24687.000000,4679.000000,106871.000000,10895.000000,1660.000000
0.024728,0.039078,0.049171,1.013343,120.461170,181.963581,194.773517,131.000000,196.000000,148.000000,205.000000,3632.000000,0.082643,0.037031,0.104789,0.057457,145771.000000,251181.000000,210428.000000,26321.000000,14432.000000,128326.000000,12047.000000,5398.000000
0.022464,0.034953,0.052490,0.895606,132.175065,190.862420,178.220807,122.000000,172.000000,144.000000,188.000000,2273.000000,0.125062,0.499753,0.110966,0.629714,8092.000000,18348.000000,4758.000000,2036.000000,11554.000000,3036.000000,1012.000000,4044.000000
0.024672,0.041728,0.049012,0.948579,103.594565,219.956409,151.802207,106.000000,167.000000,121.000000,228.000000,3319.000000,0.164073,0.004088,0.215823,0.006220,156321.000000,273780.000000,212989.000000,59088.000000,1703.000000,130034.000000,25648.000000,639.000000
0.024707,0.038730,0.047931,0.877267,183.922320,207.117184,193.363734,111.000000,178.000000,184.000000,200.000000,3276.000000,0.011992,0.030732,0.015531,0.047845,132175.000000,221423.000000,207390.000000,3439.000000,10594.000000,126528.000000,1585.000000,4062.000000
0.024195,0.042033,0.048227,0.976566,194.320444,200.448054,193.496507,131.000000,187.000000,213.000000,216.000000,2854.000000,0.185174,0.252612,0.214169,0.330698,17038.000000,34146.000000,15541.000000,7313.000000,11292.000000,9579.000000,3155.000000,4304.000000
0.024563,0.039323,0.046709,0.934058,145.865118,215.193021,141.238494,124.000000,193.000000,160.000000,221.000000,3225.000000,0.220020,0.006537,0.273882,0.009433,44055.000000,77705.000000,55690.000000,21282.000000,733.000000,34074.000000,9693.000000,288.000000
0.024723,0.045993,0.054484,1.011310,148.333957,231.816560,119.406839,123.000000,169.000000,172.000000,253.000000,3722.000000,0.051877,0.006956,0.076833,0.012209,32346.000000,54794.000000,49915.000000,4210.000000,669.000000,30443.000000,1678.000000,225.000000
