r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.251914,0.282580,0.333365,1.083033,24.161156,21.006939,16.366972,15.786556,23.000000,25.000000,30.000000,26.000000,406.000000,0.007290,0.013794,0.008429,0.020560,13992.000000,49708.000000,48267.000000,419.000000,1022.000000,13697.000000,102.000000,193.000000
0.248761,0.310617,0.399553,1.090868,15.114626,33.248551,18.275735,9.840568,19.000000,30.000000,20.000000,39.000000,415.000000,0.009350,0.001633,0.012672,0.003453,31231.000000,108900.000000,107144.000000,1380.000000,376.000000,30888.000000,292.000000,51.000000
0.249113,0.325769,0.339429,1.146178,16.997035,23.227828,17.467489,17.137947,22.000000,27.000000,23.000000,30.000000,434.000000,0.008730,0.009910,0.012684,0.015416,33906.000000,118967.000000,115624.000000,1509.000000,1834.000000,33274.000000,296.000000,336.000000
0.251207,0.305640,0.344553,1.058287,21.296176,33.004772,19.959182,15.966348,24.000000,33.000000,26.000000,38.000000,381.000000,0.109020,0.059888,0.133793,0.089282,4091.000000,15367.000000,11939.000000,2056.000000,1372.000000,3400.000000,446.000000,245.000000
0.251047,0.303280,0.284277,0.994360,13.799144,26.652472,22.544624,9.283396,16.000000,28.000000,17.000000,30.000000,374.000000,0.027076,0.000407,0.034872,0.000476,34422.000000,121760.000000,117456.000000,4246.000000,58.000000,33476.000000,932.000000,14.000000
0.252233,0.299745,0.361867,0.874898,20.666628,36.098221,21.792959,10.639678,19.000000,28.000000,21.000000,34.000000,328.000000,0.019564,0.001338,0.024657,0.002301,35115.000000,124711.000000,121349.000000,3075.000000,287.000000,34381.000000,687.000000,47.000000
0.247210,0.320649,0.326283,1.103747,7.753379,24.115309,15.866550,6.734099,11.000000,25.000000,12.000000,30.000000,404.000000,0.144772,0.008043,0.195673,0.011181,1119.000000,4114.000000,3263.000000,805.000000,46.000000,948.000000,162.000000,9.000000
0.251370,0.340950,0.363230,1.231071,15.749932,19.991346,9.321183,13.504590,19.000000,27.000000,23.000000,28.000000,454.000000,0.007275,0.040921,0.011003,0.069184,3299.000000,11997.000000,11035.000000,132.000000,830.000000,3140.000000,24.000000,135.000000
0.250303,0.295793,0.344553,0.855328,23.509518,39.186791,19.755506,4.671085,22.000000,28.000000,23.000000,36.000000,324.000000,0.009777,0.000142,0.012242,0.000226,35287.000000,123669.000000,122127.000000,1514.000000,28.000000,34937.000000,345.000000,5.000000
0.249890,0.307312,0.305211,0.849643,22.639219,37.917373,19.061844,11.648810,18.000000,32.000000,22.000000,35.000000,322.000000,0.011469,0.001147,0.015220,0.001506,30517.000000,106901.000000,105113.000000,1627.000000,161.000000,30132.000000,350.000000,35.000000
0.243506,0.300141,0.328941,1.105818,22.893165,21.376260,11.649552,11.137436,19.000000,22.000000,29.000000,27.000000,427.000000,0.014398,0.017016,0.018851,0.025729,2292.000000,7851.000000,7501.000000,148.000000,202.000000,2220.000000,33.000000,39.000000
0.249692,0.298998,0.353485,1.006957,28.434404,25.970669,19.153490,13.138845,30.000000,21.000000,32.000000,29.000000,382.000000,0.007736,0.002621,0.009860,0.004386,39684.000000,138843.000000,136865.000000,1369.000000,609.000000,39273.000000,307.000000,104.000000
0.250017,0.305012,0.346837,1.020889,23.168990,23.564351,19.585489,16.276943,25.000000,23.000000,27.000000,27.000000,383.000000,0.022855,0.016458,0.029572,0.026248,17195.000000,61071.000000,57662.000000,1806.000000,1603.000000,16519.000000,393.000000,283.000000
0.248965,0.303612,0.317876,1.111618,15.597701,26.540565,24.254329,15.568209,20.000000,30.000000,21.000000,33.000000,403.000000,0.202593,0.018102,0.248576,0.023853,7789.000000,28969.000000,21077.000000,7201.000000,691.000000,6070.000000,1578.000000,141.000000
0.250458,0.274321,0.279421,1.033846,14.732604,21.569975,17.452169,11.221396,16.000000,24.000000,19.000000,26.000000,392.000000,0.003036,0.000582,0.003419,0.000672,39530.000000,138355.000000,137789.000000,473.000000,93.000000,39387.000000,120.000000,23.000000
0.250517,0.301234,0.361028,0.954131,26.026389,32.864634,13.180078,12.727894,18.000000,29.000000,28.000000,34.000000,353.000000,0.020842,0.038930,0.025956,0.065378,2543.000000,9208.000000,8367.000000,239.000000,602.000000,2391.000000,53.000000,99.000000
0.249531,0.294363,0.354639,0.866895,11.598882,29.479408,17.111347,14.033219,11.000000,26.000000,13.000000,28.000000,329.000000,0.004772,0.004493,0.005946,0.007568,32269.000000,112850.000000,111325.000000,671.000000,854.000000,31970.000000,154.000000,145.000000
0.250375,0.284923,0.381751,0.997089,20.560337,23.456390,12.163778,10.085499,20.000000,16.000000,24.000000,26.000000,378.000000,0.000771,0.001133,0.000916,0.002182,41490.000000,145260.000000,144810.000000,133.000000,317.000000,41411.000000,32.000000,47.000000
0.250820,0.309545,0.349693,0.951510,20.941564,21.312457,20.948927,18.244949,22.000000,22.000000,23.000000,23.000000,355.000000,0.022728,0.020473,0.029862,0.032878,28819.000000,103107.000000,96638.000000,3079.000000,3390.000000,27574.000000,655.000000,590.000000
0.249253,0.310372,0.369061,0.928667,32.312854,25.287533,16.509113,15.481808,27.000000,25.000000,33.000000,26.000000,338.000000,0.036044,0.065008,0.045889,0.110989,4661.000000,17281.000000,14570.000000,793.000000,1918.000000,4190.000000,168.000000,303.000000
0.250026,0.302205,0.219722,0.954089,24.990229,27.940526,22.039933,3.154649,23.000000,16.000000,27.000000,31.000000,360.000000,0.031303,0.000080,0.040258,0.000068,24950.000000,87907.000000,84362.000000,3539.000000,6.000000,24167.000000,781.000000,2.000000
0.250181,0.288239,0.312182,0.883626,16.901269,30.747771,21.140716,11.652126,16.000000,21.000000,18.000000,30.000000,335.000000,0.008730,0.000749,0.010538,0.001019,50744.000000,177647.000000,175594.000000,1872.000000,181.000000,50263.000000,443.000000,38.000000
0.250752,0.289220,0.257571,0.977732,28.248462,29.869167,18.569414,8.073280,27.000000,21.000000,31.000000,33.000000,370.000000,0.007063,0.000263,0.008548,0.000271,30442.000000,106814.000000,105872.000000,913.000000,29.000000,30219.000000,215.000000,8.000000
