r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.067712,0.090482,0.143656,1.087838,32.153060,67.498558,61.530643,37.000000,57.000000,47.000000,81.000000,1282.000000,0.227399,0.049242,0.274380,0.172096,7920.000000,40094.000000,22193.000000,11001.000000,6900.000000,5729.000000,1801.000000,390.000000
0.070421,0.090031,0.140763,0.957200,37.994298,95.277842,61.952487,40.000000,74.000000,47.000000,98.000000,1110.000000,0.400880,0.023745,0.468820,0.076597,15456.000000,80003.000000,36368.000000,37507.000000,6128.000000,8893.000000,6196.000000,367.000000
0.069856,0.090536,0.139212,0.946641,66.069485,65.705995,81.894883,35.000000,66.000000,73.000000,69.000000,756.000000,0.054188,0.537212,0.031027,0.814267,10279.000000,109776.000000,16983.000000,3406.000000,89387.000000,4200.000000,557.000000,5522.000000
0.069933,0.090468,0.141624,1.022320,32.963843,67.279742,68.450305,38.000000,70.000000,45.000000,76.000000,1181.000000,0.162619,0.064601,0.190234,0.210230,14783.000000,77168.000000,46265.000000,14680.000000,16223.000000,11424.000000,2404.000000,955.000000
0.069241,0.088766,0.139822,1.070064,33.591581,65.740916,66.518326,37.000000,76.000000,48.000000,78.000000,1256.000000,0.304452,0.041019,0.353495,0.132227,16285.000000,82782.000000,42573.000000,29263.000000,10946.000000,10659.000000,4958.000000,668.000000
0.068823,0.088877,0.140509,0.968961,32.093923,71.317523,64.603557,34.000000,65.000000,42.000000,76.000000,1105.000000,0.300471,0.062073,0.333252,0.193348,8490.000000,45281.000000,21436.000000,15090.000000,8755.000000,5412.000000,2551.000000,527.000000
0.071210,0.085742,0.141471,1.094120,29.465971,70.619405,75.620030,41.000000,73.000000,45.000000,85.000000,1091.000000,0.046685,0.197149,0.038484,0.495401,13259.000000,89362.000000,41653.000000,3439.000000,44270.000000,10026.000000,619.000000,2614.000000
0.069570,0.084121,0.140001,1.140018,51.269241,56.014079,63.411441,39.000000,61.000000,72.000000,72.000000,1449.000000,0.025219,0.034686,0.030239,0.127161,12570.000000,56385.000000,47510.000000,1705.000000,7170.000000,11817.000000,317.000000,436.000000
0.072505,0.089848,0.142804,0.896510,49.103670,96.733055,70.525302,50.000000,78.000000,54.000000,93.000000,832.000000,0.793475,0.154073,0.622392,0.348524,8827.000000,67872.000000,1974.000000,42243.000000,23655.000000,463.000000,7004.000000,1360.000000
0.071117,0.086915,0.138038,0.972916,35.775076,56.481525,80.843060,36.000000,61.000000,46.000000,62.000000,914.000000,0.231759,0.260898,0.174656,0.546587,17022.000000,128470.000000,35812.000000,22438.000000,70220.000000,8636.000000,3945.000000,4441.000000
0.070837,0.089616,0.137312,0.933986,44.516604,76.230345,75.166906,39.000000,75.000000,52.000000,78.000000,1025.000000,0.249376,0.095320,0.263350,0.261302,20447.000000,116237.000000,55253.000000,30611.000000,30373.000000,13399.000000,5099.000000,1949.000000
0.070033,0.091212,0.139952,1.174805,18.828734,43.927002,71.818257,34.000000,57.000000,35.000000,60.000000,1250.000000,0.323349,0.100872,0.334148,0.276303,13988.000000,83897.000000,32682.000000,28034.000000,23181.000000,8054.000000,4523.000000,1411.000000
0.069708,0.088966,0.143093,1.105305,27.663053,65.389725,69.227098,38.000000,69.000000,43.000000,80.000000,1126.000000,0.743974,0.075271,0.683071,0.204020,15225.000000,98265.000000,11095.000000,67122.000000,20048.000000,2752.000000,11327.000000,1146.000000
0.069353,0.091783,0.142496,0.955535,44.571043,64.146550,72.455966,39.000000,62.000000,53.000000,68.000000,1061.000000,0.069335,0.107225,0.077836,0.331907,16442.000000,91821.000000,54198.000000,7147.000000,30476.000000,13539.000000,1140.000000,1763.000000
0.073155,0.087641,0.141524,1.060968,64.935201,62.681726,67.768627,37.000000,63.000000,81.000000,74.000000,994.000000,0.055846,0.251018,0.042563,0.562039,3438.000000,26032.000000,10293.000000,1108.000000,14631.000000,2383.000000,192.000000,863.000000
0.069797,0.089903,0.138554,1.163431,24.977074,51.230450,71.704938,34.000000,66.000000,42.000000,68.000000,1361.000000,0.121375,0.070038,0.143207,0.218650,18447.000000,94402.000000,60242.000000,13519.000000,20641.000000,14916.000000,2239.000000,1292.000000
