r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.070312,0.087815,0.137848,1.000450,56.581887,70.710585,73.255410,58.524234,50.000000,74.000000,68.000000,78.000000,1156.000000,0.018575,0.095234,0.020591,0.287166,33486.000000,174927.000000,121092.000000,3602.000000,50233.000000,29675.000000,622.000000,3189.000000
0.070019,0.089856,0.144406,0.999393,38.901437,63.117605,82.623150,51.202119,49.000000,67.000000,50.000000,70.000000,1194.000000,0.057270,0.055561,0.069899,0.201897,29265.000000,144638.000000,105326.000000,10110.000000,29202.000000,25963.000000,1676.000000,1626.000000
0.068139,0.089066,0.138982,0.935773,45.410102,75.089780,97.806562,42.024303,49.000000,73.000000,53.000000,77.000000,1122.000000,0.369755,0.020951,0.446819,0.068706,16419.000000,80677.000000,39086.000000,36048.000000,5543.000000,10004.000000,6071.000000,344.000000
0.070524,0.091011,0.138313,0.957637,42.268441,75.264734,87.996675,51.828660,49.000000,61.000000,51.000000,79.000000,1176.000000,0.087901,0.037943,0.114768,0.127591,34209.000000,161744.000000,122544.000000,18563.000000,20637.000000,29904.000000,3007.000000,1298.000000
0.070121,0.084753,0.140156,1.002375,71.004295,77.663673,71.898140,47.365523,57.000000,76.000000,83.000000,85.000000,1163.000000,0.049140,0.084748,0.051608,0.269548,9015.000000,46756.000000,31740.000000,2413.000000,12603.000000,7808.000000,443.000000,764.000000
0.071253,0.090603,0.129995,0.922354,91.960152,83.378683,46.073269,42.951606,57.000000,70.000000,95.000000,84.000000,1103.000000,0.019415,0.079450,0.024086,0.216715,3348.000000,16524.000000,12545.000000,398.000000,3581.000000,3017.000000,65.000000,266.000000
0.070657,0.086458,0.138951,0.964292,62.062858,76.802699,79.734288,53.181175,43.000000,72.000000,71.000000,81.000000,1165.000000,0.035104,0.057640,0.040760,0.191230,28088.000000,136333.000000,104705.000000,5557.000000,26071.000000,25483.000000,986.000000,1619.000000
0.069349,0.092034,0.138856,0.903915,52.193478,65.813967,86.481780,52.134880,52.000000,65.000000,57.000000,66.000000,1021.000000,0.174056,0.084717,0.202148,0.250978,16443.000000,89207.000000,48785.000000,18033.000000,22389.000000,12188.000000,2862.000000,1393.000000
0.070886,0.089447,0.135767,0.986736,78.003042,71.682914,72.394454,53.378886,64.000000,73.000000,88.000000,78.000000,1233.000000,0.018445,0.039902,0.023990,0.131065,35186.000000,161859.000000,136762.000000,3883.000000,21214.000000,33133.000000,649.000000,1404.000000
0.067398,0.089157,0.142478,1.015194,53.796066,72.769104,79.918334,55.899909,55.000000,79.000000,66.000000,81.000000,800.000000,0.214978,0.497579,0.116428,0.782827,5782.000000,63507.000000,6398.000000,7394.000000,49715.000000,1662.000000,1243.000000,2877.000000
