"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"2971",0.45,0.5,0.983730391665249,1.20669783106764,34.6148674364203,36.3900000030946,37.2900160948954,0.983730391665249,FALSE,1.20669783106764,FALSE,8.50407772048179e-09,4.31614251052797e-05
"2972",0.31,0.55,0.614692797195668,1.72668168116708,32.8779653811422,35.4350708662442,36.6159108945641,0.722982523319128,TRUE,1.72668168116708,FALSE,-2.62415260718833,-1.80769403442184
"2973",0.34,0.5,0.78115088411641,1.51814445901671,34.3444775278517,36.3899826229386,37.2899828190915,0.78115088411641,FALSE,1.51814445901671,FALSE,-4.77522983275654e-05,-4.60737691841184e-05
"2974",0.35,0.49,0.820117661257486,1.46348863213806,34.4199023509575,36.3899727318906,37.2899731548221,0.820117661257486,FALSE,1.46348863213806,FALSE,-7.49329743428866e-05,-7.19902866320545e-05
"2975",0.43,0.56,0.802006553763057,1.38313234149404,34.443522974315,36.3900270385331,37.2900295140328,0.802006553763057,FALSE,1.38313234149404,FALSE,7.43020968815343e-05,7.91473124446121e-05
"2976",0.34,0.55,0.664083644496599,1.62404465879929,32.9288252381753,35.4701718831461,36.643009373401,0.721760985463375,TRUE,1.62404465879929,FALSE,-2.5276947426597,-1.73502447465546
"2977",0.3,0.47,0.780515782006456,1.58846416927884,34.3076177718062,36.3899888190755,37.2899917054331,0.780515782006456,FALSE,1.58846416927884,FALSE,-3.072526668131e-05,-2.22434080284417e-05
"2978",0.26,0.46,0.739540539625726,1.72356932307852,34.1684153450614,36.3899992783516,37.2899993728441,0.739540539625726,FALSE,1.72356932307852,FALSE,-1.98309542827556e-06,-1.68183388612657e-06
"2979",0.29,0.39,0.920957243816722,1.41881483160692,34.5301555902535,36.3900166842035,37.290023702955,0.920957243816722,FALSE,1.41881483160692,FALSE,4.58483195386389e-05,6.3563837503294e-05
"2980",0.35,0.33,1.1233032019982,1.02425225808901,34.6365777403086,36.3900000036054,37.290014688681,1.1233032019982,FALSE,1.02425225808901,FALSE,9.90757047408718e-09,3.93904023442168e-05
