"","alpha1","alpha2","alpha3","beta1","beta2","beta3","ccf_last1","ccf_last2","ccf_last3","r","r1","r2","r3","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","r2_tp1","lifetime_r2","r3_tp1","lifetime_r3","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"5120",0.67,0.12,0.05,0.44,0.16,0.07,0.01,0.74,0.22,0.253980003471178,-0.365542260596636,0.702602114278919,0.637329326001855,51.8041671010132,52.6421421227209,52.4355273747421,56.54567656913,0.431797856653094,TRUE,0.453030839480099,TRUE,0.702602114278919,FALSE,0.637329326001855,FALSE,-3.65640167876845,-5.52157229776195,-6.33480773707143
"5121",0.64,0.13,0.06,0.45,0.18,0.09,0.02,0.76,0.21,0.330561071381543,-0.32521345149086,0.623950461139174,0.565883447871764,51.7911872686297,52.6288733272138,52.4222987144416,56.5396527647335,0.433462786708104,TRUE,0.452192451192557,TRUE,0.623950461139174,FALSE,0.565883447871764,FALSE,-3.68068571154129,-5.54540772172678,-6.3447858791892
"5122",0.61,0.14,0.05,0.46,0.21,0.1,0.01,0.73,0.27,0.332447079828809,-0.408215628425079,0.74551190397637,0.606562013610691,51.8337400442169,52.6715801699795,52.4650425930211,56.5615259427686,0.434988804441249,TRUE,0.451313805160596,TRUE,0.74551190397637,FALSE,0.606562013610691,FALSE,-3.6025253111649,-5.46839172428637,-6.30855401230979
"5123",0.65,0.11,0.06,0.44,0.18,0.08,0.01,0.78,0.26,0.265578564852,-0.405616113640609,0.718611475493031,0.638843044945551,51.7703908318071,52.6076713211988,52.4012562690195,56.5026423130763,0.434241696196003,TRUE,0.452476202776304,TRUE,0.718611475493031,FALSE,0.638843044945551,FALSE,-3.71948879722042,-5.58332203780276,-6.40609191141909
"5124",0.65,0.13,0.03,0.52,0.18,0.09,0.02,0.77,0.27,0.309410094492107,-0.29053552341845,0.589192108084859,0.701295879307656,51.7853330527749,52.6208145695681,52.4148238665721,56.5134694360251,0.432649247861639,TRUE,0.452476202776304,TRUE,0.589192108084859,FALSE,0.701295879307656,FALSE,-3.69543453592952,-5.55887591608632,-6.38815730325477
"5125",0.52,0.13,0.08,0.37,0.18,0.04,0.01,0.78,0.25,0.227849260520309,-0.355866288041648,0.644347782516146,0.588368203076027,51.8018218580877,52.6439619038883,52.4362798132409,56.5753376365219,0.441146788273994,TRUE,0.448392316405254,TRUE,0.644347782516146,FALSE,0.588368203076027,FALSE,-3.65307118614876,-5.52021655271917,-6.28567560622513
"5126",0.68,0.12,0.05,0.46,0.21,0.07,0.01,0.74,0.24,0.354873914816551,-0.411313046797908,0.641596449013878,0.607919120466366,51.7779284350484,52.6129606338558,52.4070765105324,56.5050210669567,0.430904918070198,TRUE,0.453301979410281,TRUE,0.641596449013878,FALSE,0.607919120466366,FALSE,-3.70980850319208,-5.57283511615784,-6.40215162008163
"5127",0.62,0.12,0.06,0.52,0.18,0.03,0.03,0.75,0.29,0.273553159702042,-0.223422909466973,0.725876267612585,0.688686869878936,51.8097725316877,52.6505537434401,52.4432507267563,56.5637745219568,0.435706606658549,TRUE,0.451611398880797,TRUE,0.725876267612585,FALSE,0.688686869878936,FALSE,-3.6410070581257,-5.50765634818688,-6.30482934908594
"5128",0.67,0.12,0.03,0.45,0.15,0.07,0.01,0.75,0.28,0.291696147865147,-0.397818706981481,0.469599956674111,0.659490686884827,51.7426469803307,52.5844450250006,52.3767927828587,56.5249395947653,0.431797856653094,TRUE,0.453030839480099,TRUE,0.469599956674111,FALSE,0.659490686884827,FALSE,-3.76199665995493,-5.62740039124555,-6.36915753724487
"5129",0.59,0.12,0.07,0.51,0.18,0.06,0.02,0.74,0.24,0.368999664478124,-0.279889008057512,0.719003443118627,0.705357725092049,51.7945867575627,52.6333899121573,52.4266284400889,56.5275451276385,0.437705129571525,TRUE,0.450703694980003,TRUE,0.719003443118627,FALSE,0.705357725092049,FALSE,-3.67241963367993,-5.5376064142543,-6.36484159741835
"5130",0.61,0.13,0.06,0.37,0.17,0.06,0.01,0.77,0.31,0.247152240173241,-0.332708720796414,0.637397847042585,0.465324081926989,51.7820390410814,52.6239989658706,52.4163376029195,56.5592155491722,0.435706606658549,TRUE,0.451313805160596,TRUE,0.637397847042585,FALSE,0.465324081926989,FALSE,-3.68960657783566,-5.55614846320809,-6.3123810681262
"5131",0.54,0.13,0.02,0.54,0.2,0.07,0.01,0.74,0.25,0.448011664028364,-0.360824362752322,0.531683025317212,0.744063605822326,52.5794121301717,53.4122489889448,53.2068866431398,57.2940741830318,0.448011664028364,FALSE,0.449083025189713,TRUE,0.531683025317212,FALSE,0.744063605822326,FALSE,-2.2469820846545,-4.13173577812644,-5.09512310248175
