"","alpha1","beta1","ccf_last1","r","r1","u","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"8478",0.62,0.71,0.84,0.408927488110761,0.871374585155815,0,61.7291050810565,63.0842205850224,63.8716585781086,65.4056280298545,0.408927488110761,FALSE,0.871374585155815,FALSE,-0.0250069967949189,-0.38730727057306,0.00860555023629142
"8479",0.64,0.75,0.75,0.572597533612347,0.853205595469336,0,62.1645644048199,63.3502043924803,64.0801683658315,65.5681929094693,0.572597533612347,FALSE,0.853205595469336,FALSE,0.396520431822944,-0.0621204525398029,0.257175702552399
"8480",0.7,0.73,0.8,0.55937165728315,0.567806294758481,0,61.2358520844927,62.8153022915155,63.8090922330072,65.8790930498047,0.55937165728315,FALSE,0.567806294758481,FALSE,-0.451184957978674,-0.484884227998816,0.732558180129559
"8481",0.65,0.77,0.8,0.499689384273747,0.748302388665192,0,61.7780523388773,63.1256749586045,63.9554700660145,65.6474303252896,0.499689384273747,FALSE,0.748302388665192,FALSE,0.0406893163305028,-0.256596902659932,0.37833383071802
"8482",0.66,0.65,0.83,0.314002472410821,1.04871950517806,0,60.6910825703818,62.4167530421725,63.3157499590241,64.8684450113623,0.38969356044926,TRUE,1.04871950517806,FALSE,-1.08280025012275,-1.2542888973423,-0.812775211984242
"8483",0.67,0.75,0.82,0.61142471299482,0.733071455636095,0,61.6426381972067,62.9212463049601,63.7223073253161,65.383014769097,0.61142471299482,FALSE,0.733071455636095,FALSE,-0.283286362979197,-0.620231869438368,-0.0259713010749505
"8484",0.69,0.68,0.79,0.584582607668762,0.840130957236192,0,62.0121038794683,63.2083467893373,63.9470663921593,65.4567466355651,0.584582607668762,FALSE,0.840130957236192,FALSE,0.17170648072474,-0.26970306899671,0.0867685559099681
"8485",0.68,0.75,0.74,0.565219049609817,0.879448672274634,0,62.0995521304709,63.2601123001269,63.9718497259368,65.4180632390699,0.565219049609817,FALSE,0.879448672274634,FALSE,0.253743740296125,-0.231051581508408,0.0276196316054
"8486",0.65,0.74,0.81,0.386582089000113,0.679056978477959,0,60.204851812965,62.0745714619602,63.1859311889297,65.3561994224146,0.390152950890991,TRUE,0.679056978477959,FALSE,-1.62508484633878,-1.45675110896808,-0.0669733602223255
"8487",0.64,0.75,0.82,0.480682824673671,0.744129555443815,0,61.9013136947449,63.2357852444332,64.0579188362301,65.7365748523007,0.480682824673671,FALSE,0.744129555443815,FALSE,0.215190561700828,-0.0968202803648345,0.514640446942988
