"","alpha1","beta1","ccf_last1","gamma1_obs","gamma2_obs","gamma3_obs","gamma1","gamma2","gamma3","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r_tp3","r1_tp1","r1_tp2","r1_tp3","t_BD"
"5492",0.63,0.77,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.468403887915311,0.809142491527501,0.458997071297346,10.4597743059158,21.5254788002126,31.0147468938716,31.9852531061284,0.468403887915311,0.468403887915311,0.468403887915311,0.809142491527501,0.809142491527501,0.809142491527501,31.0520382751608
"5493",0.68,0.74,0.83,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.377915666107912,1.11449507761178,0.515641717527851,25.2573922226249,15.4979938901132,22.2446138872619,40.7553861127381,0.388732789897494,0.388077888060863,0.391890689750288,1.11449507761178,1.11449507761178,1.11449507761178,22.585439669313
"5494",0.58,0.79,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,1.02265368931928,0.87114684503336,0.608872401368213,20.2437717258077,14.0318413613854,28.7243869128068,34.2756130871932,1.02265368931928,1.02265368931928,1.02265368931928,0.87114684503336,0.87114684503336,0.87114684503336,28.7398520794923
"5495",0.61,0.76,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.223926650091259,0.934549430893044,0.456351447521905,26.1324400515548,10.0745682321208,26.7929917163244,36.2070082836756,0.391867904688776,0.386829561366017,0.395121715647341,0.934549430893044,0.934549430893044,0.934549430893044,26.8372343203391
"5496",0.59,0.72,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.384844958251535,1.05433145191348,0.482838442609166,15.8495546323291,23.6758639778797,23.4745813897912,39.5254186102088,0.392660462859531,0.389233658057022,0.392764671613285,1.05433145191348,1.05433145191348,1.05433145191348,23.7452912867299
"5497",0.64,0.73,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.359071437407288,0.855753348755307,0.436496831970589,21.0328402242899,12.843601520095,29.1235582556151,33.8764417443849,0.390599399020416,0.388666477081182,0.393591387534849,0.855753348755307,0.855753348755307,0.855753348755307,29.3736634799939
"5498",0.68,0.67,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.573315617730176,0.804996130878636,0.484463023993446,18.9468188063926,12.7691593167872,31.2840218768202,31.7159781231798,0.573315617730176,0.573315617730176,0.573315617730176,0.804996130878636,0.804996130878636,0.804996130878636,31.3073693960648
"5499",0.64,0.76,0.84,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.534671314860444,0.831762134927569,0.491123418197145,8.83352021438299,23.9887235972313,30.1777561883857,32.8222438116143,0.534671314860444,0.534671314860444,0.534671314860444,0.831762134927569,0.831762134927569,0.831762134927569,30.2237971097207
"5500",0.66,0.74,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.603218496961251,0.844421579259215,0.512764079317816,13.7569219750321,19.6340970115822,29.6089810133856,33.3910189866144,0.603218496961251,0.603218496961251,0.603218496961251,0.844421579259215,0.844421579259215,0.844421579259215,29.8056283046582
"5501",0.66,0.75,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.604328998029142,0.85415504313884,0.518407930782102,13.7075758695251,20.0582903993695,29.2341337311054,33.7658662688946,0.604328998029142,0.604328998029142,0.604328998029142,0.85415504313884,0.85415504313884,0.85415504313884,29.4648408150343
"5502",0.62,0.68,0.78,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.57296006798336,0.84055870026759,0.494327399112148,18.8778149245082,14.3072116957614,29.8149733797304,33.1850266202696,0.57296006798336,0.57296006798336,0.57296006798336,0.84055870026759,0.84055870026759,0.84055870026759,29.8686833492508
"5503",0.64,0.75,0.8,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.465062495244394,0.961719554273418,0.50403784800796,16.8857938796548,20.1935958420315,25.9206102783137,37.0793897216863,0.465062495244394,0.465062495244394,0.465062495244394,0.961719554273418,0.961719554273418,0.961719554273418,26.1261343351256
"5504",0.66,0.74,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.37168988939745,0.802570612456478,0.424853183216717,15.8279312812936,15.9784413118721,31.1936274068343,31.8063725931657,0.38969356044926,0.388077888060863,0.392764671613285,0.802570612456478,0.802570612456478,0.802570612456478,31.3650916565026
"5505",0.66,0.78,0.77,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.294751735713069,0.853123783507228,0.438665114133929,16.4443279522447,17.17496527696,29.3807067707953,33.6192932292047,0.38969356044926,0.385472552991257,0.396512721430303,0.853123783507228,0.853123783507228,0.853123783507228,29.5005789194419
"5506",0.65,0.74,0.76,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.604788826033759,0.867487499433349,0.518983272242606,16.4431173253822,17.6778256970711,28.8790569775467,34.1209430224533,0.604788826033759,0.604788826033759,0.604788826033759,0.867487499433349,0.867487499433349,0.867487499433349,28.9928577369856
"5507",0.67,0.72,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.527299742017515,0.985264233550492,0.535837610160572,8.62143768759952,28.8532442603191,25.5253180520813,37.4746819479187,0.527299742017515,0.527299742017515,0.527299742017515,0.985264233550492,0.985264233550492,0.985264233550492,25.5459078678493
