"","alpha1","beta1","gamma1_obs","gamma2_obs","gamma1","gamma2","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r1_tp1","r1_tp2","t_BD"
"2667",0.27,0.54,1,4,5.25656619421988,31.5287765607893,0,0.576499430715271,1.85979412540332,0.202740328627916,1.04570427032459,21.7024285797358,12.2518671499396,22.7481328500604,0.724531106351585,0.720958338637113,1.85979412540332,1.85979412540332,12.2518671499396
"2668",0.36,0.5,1,4,5.25656619421988,31.5287765607893,0,0.815341615968354,1.45463511030564,0.200199732667326,0.691611100849109,18.0590879668019,16.249300932349,18.750699067651,0.815341615968354,0.815341615968354,1.45463511030564,1.45463511030564,16.249300932349
"2669",0.48,0.5,1,4,5.25656619421988,31.5287765607893,0,1.04605202127751,1.13498836313699,0.210732303604914,4.10617292878412,9.42330323449536,21.4705238367205,13.5294761632795,1.04605202127751,1.04605202127751,1.13498836313699,1.13498836313699,21.4705238367205
"2670",0.27,0.68,1,4,5.25656619421988,31.5287765607893,0,0.173271104393749,2.11593152386091,0.239517074228207,5.16008197168388,19.2394239603909,10.6004940679252,24.3995059320748,0.724531106351585,0.71122635972348,2.11593152386091,2.11593152386091,10.6004940679252
"2671",0.28,0.41,1,4,5.25656619421988,31.5287765607893,0,0.868376507991898,1.5133723209246,0.201891003403398,2.36723937119451,17.2341411477525,15.3986194810529,19.6013805189471,0.868376507991898,0.868376507991898,1.5133723209246,1.5133723209246,15.3986194810529
"2672",0.26,0.53,1,4,5.25656619421988,31.5287765607893,0,0.58527782312103,1.88095878648188,0.201696493296444,8.9206767595301,14.0010196077303,12.0783036327396,22.9216963672604,0.724904990716954,0.721535067122523,1.88095878648188,1.88095878648188,12.0783036327396
"2673",0.29,0.44,1,4,5.25656619421988,31.5287765607893,0,0.825932606663195,1.55284592914981,0.19904807498555,3.42968011448005,16.5758719043205,14.9944479811994,20.0055520188006,0.825932606663195,0.825932606663195,1.55284592914981,1.55284592914981,14.9944479811994
"2674",0.29,0.56,1,4,5.25656619421988,31.5287765607893,0,0.557974765755541,1.82080377005746,0.204856433675328,0.144903503537275,22.2718590903422,12.5832374061206,22.4167625938794,0.723767721792446,0.719766282789142,1.82080377005746,1.82080377005746,12.5832374061206
"2675",0.34,0.56,1,4,5.25656619421988,31.5287765607893,0,0.63911380466098,1.64406522046892,0.198995475669865,0.621549401567226,20.1963262539376,14.1821243444952,20.8178756555048,0.721760985463375,0.719766282789142,1.64406522046892,1.64406522046892,14.1821243444952
"2676",0.26,0.5,1,4,5.25656619421988,31.5287765607893,0,0.654028271696687,1.816215555233,0.195430192885075,1.8124656586548,20.6291216741289,12.5584126672163,22.4415873327837,0.724904990716954,0.723194369984365,1.816215555233,1.816215555233,12.5584126672163
"2677",0.28,0.55,1,4,5.25656619421988,31.5287765607893,0,0.567404336730338,1.83977356373367,0.203793560128822,12.7189714389879,9.86094207536938,12.4200864856427,22.5799135143573,0.724152064798072,0.720368933790806,1.83977356373367,1.83977356373367,12.4200864856427
"2678",0.32,0.54,1,4,5.25656619421988,31.5287765607893,0,0.655334692906697,1.67101741785288,0.19706778126291,12.0046628196172,9.10065902627744,13.8946781541054,21.1053218458946,0.722581347187741,0.720958338637113,1.67101741785288,1.67101741785288,13.8946781541054
"2679",0.32,0.44,1,4,5.25656619421988,31.5287765607893,0,0.873901686513426,1.44346807046841,0.203154116981613,4.70404791360227,13.9917862476637,16.304165838734,18.695834161266,0.873901686513426,0.873901686513426,1.44346807046841,1.44346807046841,16.304165838734
