r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.024190,0.035438,0.050435,0.881828,147.552746,212.643873,242.529191,120.596287,142.000000,184.000000,155.000000,205.000000,2958.000000,0.344162,0.027900,0.389648,0.042636,15699.000000,28169.000000,15992.000000,10976.000000,1201.000000,9858.000000,5403.000000,438.000000
0.025224,0.034724,0.040725,1.002891,146.694494,217.744820,233.763681,140.859808,147.000000,191.000000,176.000000,243.000000,3477.000000,0.221021,0.020440,0.253656,0.026450,15166.000000,26465.000000,19052.000000,6713.000000,700.000000,11504.000000,3352.000000,310.000000
0.026304,0.039764,0.040231,1.049026,222.700367,174.375750,141.616420,164.848971,167.000000,190.000000,260.000000,209.000000,3651.000000,0.022096,0.060109,0.028184,0.077393,12627.000000,21927.000000,19612.000000,618.000000,1697.000000,11589.000000,279.000000,759.000000
0.024213,0.033613,0.031151,0.919610,142.061359,186.469381,237.451759,187.772802,149.000000,168.000000,158.000000,201.000000,3356.000000,0.198413,0.023530,0.229240,0.025880,14747.000000,25000.000000,18622.000000,5731.000000,647.000000,11474.000000,2926.000000,347.000000
0.024281,0.038305,0.045488,1.094399,116.437413,144.317289,201.392144,139.998406,139.000000,165.000000,156.000000,182.000000,3932.000000,0.129181,0.033622,0.161386,0.048493,17340.000000,29860.000000,23593.000000,4819.000000,1448.000000,14517.000000,2240.000000,583.000000
0.024649,0.034333,0.039864,0.931825,130.775176,173.450121,203.545419,145.318070,120.000000,157.000000,149.000000,185.000000,3497.000000,0.053541,0.016201,0.063885,0.021591,20246.000000,33717.000000,30835.000000,2154.000000,728.000000,18834.000000,1084.000000,328.000000
0.026136,0.032844,0.038654,1.002298,144.152014,145.735185,237.514156,188.390213,158.000000,170.000000,175.000000,172.000000,3478.000000,0.097079,0.057779,0.107745,0.072028,25165.000000,43733.000000,35871.000000,4712.000000,3150.000000,21268.000000,2443.000000,1454.000000
0.025716,0.036548,0.044175,0.927472,127.899286,169.282433,191.688743,186.037488,132.000000,175.000000,144.000000,178.000000,3115.000000,0.040520,0.136218,0.047002,0.184047,27221.000000,48743.000000,37481.000000,2291.000000,8971.000000,22410.000000,1103.000000,3708.000000
0.025652,0.042516,0.047362,0.991387,171.156206,186.675906,169.040112,139.971236,144.000000,190.000000,193.000000,206.000000,3496.000000,0.051576,0.029533,0.069704,0.043976,25632.000000,44388.000000,39342.000000,3094.000000,1952.000000,23553.000000,1322.000000,757.000000
0.024030,0.024631,0.040451,0.992667,154.833461,179.778194,243.149427,148.545959,135.000000,191.000000,194.000000,203.000000,3889.000000,0.015106,0.015409,0.015195,0.021268,26413.000000,42975.000000,41408.000000,653.000000,914.000000,25607.000000,399.000000,407.000000
0.025236,0.031535,0.043771,1.023783,127.502362,152.972153,243.649310,166.195757,156.000000,178.000000,163.000000,180.000000,3686.000000,0.070844,0.047066,0.077966,0.066160,30659.000000,52343.000000,44799.000000,4081.000000,3463.000000,27044.000000,2172.000000,1443.000000
